Part,Value,Device,Package,Description,BUTTON,ERASE,MF,MPN,OC_FARNELL,OC_NEWARK,PACKAGE,RESET,SUPPLIER,TP_SIGNAL_NAME
C6,0.01u,C-USC0805,C0805,CAPACITOR,,,,,,,,,,
C5,0.1u,C-USC0805,C0805,CAPACITOR,,,,,,,,,,
C8,0.1u,C-USC0805,C0805,CAPACITOR,,,,,,,,,,
C9,0.1u,C-USC0805,C0805,CAPACITOR,,,,,,,,,,
C10,0.1u,C-USC0805,C0805,CAPACITOR,,,,,,,,,,
C11,0.1u,C-USC0805,C0805,CAPACITOR,,,,,,,,,,
C13,0.1u,C-USC0805,C0805,CAPACITOR,,,,,,,,,,
C14,0.1u,C-USC0805,C0805,CAPACITOR,,,,,,,,,,
C15,0.1u,C-USC0805,C0805,CAPACITOR,,,,,,,,,,
C16,0.1u,C-USC0805,C0805,CAPACITOR,,,,,,,,,,
C17,0.1u,C-USC0805,C0805,CAPACITOR,,,,,,,,,,
C18,0.1u,C-USC0805,C0805,CAPACITOR,,,,,,,,,,
C19,0.1u,C-USC0805,C0805,CAPACITOR,,,,,,,,,,
C22,0.1u,C-USC0805,C0805,CAPACITOR,,,,,,,,,,
C41,0.1u,C-USC0805,C0805,CAPACITOR,,,,,,,,,,
C42,0.1u,C-USC0805,C0805,CAPACITOR,,,,,,,,,,
C43,0.1u,C-USC0805,C0805,CAPACITOR,,,,,,,,,,
C62,0.1u,C-USC0805,C0805,CAPACITOR,,,,,,,,,,
C20,0.1uF,C-USC0805,C0805,CAPACITOR,,,,,,,,,,
C21,0.1uF,C-USC0805,C0805,CAPACITOR,,,,,,,,,,
C28,0.1uF,C-EUC0805,C0805,CAPACITOR,,,,,,,,,,
C31,0.1uF,C-EUC0603,C0603,CAPACITOR,,,,,,,,,,
C32,0.1uF,C-EUC1206,C1206,CAPACITOR,,,,,,,,,,
C33,0.1uF,C-EUC1206,C1206,CAPACITOR,,,,,,,,,,
C34,0.1uF,C-EUC0603,C0603,CAPACITOR,,,,,,,,,,
C37,0.1uF,C-EUC1206,C1206,CAPACITOR,,,,,,,,,,
C44,0.1uF,C-EUC0603,C0603,CAPACITOR,,,,,,,,,,
C55,0.1uF,C-EUC0603,C0603,CAPACITOR,,,,,,,,,,
C56,0.1uF,C-EUC0603,C0603,CAPACITOR,,,,,,,,,,
C57,0.1uF,C-EUC0603,C0603,CAPACITOR,,,,,,,,,,
C58,0.1uF,C-EUC0603,C0603,CAPACITOR,,,,,,,,,,
C59,0.1uF,C-EUC0603,C0603,CAPACITOR,,,,,,,,,,
C80,0.1uF,C-USC0805,C0805,CAPACITOR,,,,,,,,,,
C39,0.68uF,C-EUC0603,C0603,CAPACITOR,,,,,,,,,,
R1,100k,R-US_R0805,R0805,RESISTOR,,,,,,,,,,
R86,100k,R-EU_R0603,R0603,RESISTOR,,,,,,,,,,
R90,100K,R-EU_R0603,R0603,RESISTOR,,,,,,,,,,
C61,100nF,C-EU-SMALL_0603,C0603@1,,,,,,,,,,,
C63,100nF,C-EU-SMALL_0603,C0603@1,,,,,,,,,,,
C60,100pF,C-EU-SMALL,C1206@1,,,,,,,,,,,
C38,100uF 10V,CPOL-EUSMCD,SMC_D,POLARIZED CAPACITOR,,,,,,,,,,
R92,10K,R-EU_R0603,R0603,RESISTOR,,,,,,,,,,
R97,10k,R-EU_R0603,R0603,RESISTOR,,,,,,,,,,
C7,10u,C-USC0805,C0805,CAPACITOR,,,,,,,,,,
C12,10u,C-USC0805,C0805,CAPACITOR,,,,,,,,,,
C49,10u,C-USC0805,C0805,CAPACITOR,,,,,,,,,,
C50,10u,C-USC0805,C0805,CAPACITOR,,,,,,,,,,
C64,10u,C-USC0805,C0805,CAPACITOR,,,,,,,,,,
C30,10uF,CPOL-USSMCD,SMC_D,POLARIZED CAPACITOR,,,,,,,,,,
C48,10uF,CPOL-EUSMCD,SMC_D,POLARIZED CAPACITOR,,,,,,,,,,
R93,120R,R-US_R0603,R0603,RESISTOR,,,,,,,,,,
Y1,12MHz KX-7 20pF,CRYSTAL-3.2-2.5,CRYSTAL-3.2-2.5,,,,,,,,,,,
R91,195K,R-EU_R0603,R0603,RESISTOR,,,,,,,,,,
R6,1K,R-US_R0805,R0805,RESISTOR,,,,,,,,,,
R7,1K,R-US_R0805,R0805,RESISTOR,,,,,,,,,,
R8,1K,R-US_R0805,R0805,RESISTOR,,,,,,,,,,
R95,1K21,R-US_R0603,R0603,RESISTOR,,,,,,,,,,
R99,1K21,R-US_R0603,R0603,RESISTOR,,,,,,,,,,
D15,1N4148DO35-7,1N4148DO35-7,DO35-7,DIODE,,,,,,,,,,
C47,1uF,C-EUC0603,C0603,CAPACITOR,,,,,,,,,,
C1,22p,C-USC0805,C0805,CAPACITOR,,,,,,,,,,
C2,22p,C-USC0805,C0805,CAPACITOR,,,,,,,,,,
C3,22p,C-USC1206,C1206,CAPACITOR,,,,,,,,,,
C4,22p,C-USC0805,C0805,CAPACITOR,,,,,,,,,,
C24,22p,C-USC1206,C1206,CAPACITOR,,,,,,,,,,
R59,24R,R-US_R0805,R0805,RESISTOR,,,,,,,,,,
R60,24R,R-US_R0805,R0805,RESISTOR,,,,,,,,,,
R61,24R,R-US_R0805,R0805,RESISTOR,,,,,,,,,,
R62,24R,R-US_R0805,R0805,RESISTOR,,,,,,,,,,
C40,27pF,C-EUC0603,C0603,CAPACITOR,,,,,,,,,,
R98,2K8,R-US_R0603,R0603,RESISTOR,,,,,,,,,,
Y2,32.768Khz,ARDUINO_WIFI_SHIELD_V018_TG_RESONATOR_EPSON_FC_145,ARDUINO_WIFI_SHIELD_V018_TG_RESONATOR_EPSON_FC_145,,,,,,,,,,,
L3,33uH,MS85,MS85,INDUCTOR,,,,,unknown,unknown,,,,
R2,39R 1%,R-US_R0805,R0805,RESISTOR,,,,,,,,,,
R3,39R 1%,R-US_R0805,R0805,RESISTOR,,,,,,,,,,
C35,4.7nF 2KV,C-EUC1206,C1206,CAPACITOR,,,,,,,,,,
C51,4.7uF,C-EUC1206,C1206,CAPACITOR,,,,,,,,,,
C52,4.7uF,C-EUC1206,C1206,CAPACITOR,,,,,,,,,,
R5,402R,R-US_R0805,R0805,RESISTOR,,,,,,,,,,
C45,4700pF,C-EUC0603,C0603,CAPACITOR,,,,,,,,,,
C46,470pF,C-EUC0603,C0603,CAPACITOR,,,,,,,,,,
R94,4K7,R-US_R0603,R0603,RESISTOR,,,,,,,,,,
X6,5566-2,5566-2,5566-2,Mini FIT connector 2 pol,,,,,1822072,unknown,,,,
R87,60R,R-EU_R0603,R0603,RESISTOR,,,,,,,,,,
R88,60R,R-EU_R0603,R0603,RESISTOR,,,,,,,,,,
R4,6k8 1%,R-US_R0805,R0805,RESISTOR,,,,,,,,,,
U3,ADUM4160BRWZ,ADUM4160BRWZ,SOIC127P1032X265-16N,Full/Low Speed 5 kV USB Digital Isolator,,,,ADUM4160BRWZ,1858056,24R8652,SOIC-16,,Analog Devices,
U1,ATSAM3X8EA-AU,ATSAM3X/AAU,LQFP144,,,,,,,,,,,
X2,CAN IN,CONN_9-1-53398,PB-53398-09,,,,,,,,,,,
X7,CAN OUT,CONN_9-1-53398,PB-53398-09,,,,,,,,,,,
Z1,CG0603MLC-05E,VARISTORCN0603,CT/CN0603,VARISTOR,,,,,,,,,,
Z2,CG0603MLC-05E,VARISTORCN0603,CT/CN0603,VARISTOR,,,,,,,,,,
U$1,DLW43SH510XK2,DLW43SH510XK2,DLW43S,,,,,,,,,,,
U$2,ER-CON40HB-2,ER-CON40HB-2,ER-CON40HB-2,,,,,,,,,,,
HEARTBEAT,HEARTBEAT,LED0805,CHIPLED_0805,LED,,,,,,,,,,
IC1,ISO1050DUB,ISO1050DUB,DUB-R-PDSO-G8,ISOLATED CAN TRANSCEIVER,,,,ISO1050DUBR,1755712,14R9899,,,,
J2,J0006D21,J0006D21,J0-C/D/E,RJ45 PulseJack,,,,,,,,,,
CON2,JTAG,CON10,CON10,CONNECTOR,,,,,unknown,unknown,,,,
F1,LITTLEFUSE_PTC,LITTLEFUSE_PTC,1812,,,,,,,,,,,
IC2,LT3434,LT3434,TSSOP16EXP,High Voltage 3A,,,,,,,,,,
U2,LTC6820,LTC6820,MSOP16,,,,,,,,,,,
IC3,MAX3232CUE,MAX3232CUE,TSSOP16,True RS-232 Transceivers 3.0V to 5.5V,,,,,,,,,,
D13,MBR0520LT,MBR0520LT,SOD123,SCHOTTKY BARRIER RECTIFIER,,,,,,,,,,
D14,MBR0520LT,MBR0520LT,SOD123,SCHOTTKY BARRIER RECTIFIER,,,,,,,,,,
D16,MBRS340T3,MBRS340T3,SMC,SCHOTTKY BARRIER RECTIFIER 3.0 AMPERES 20,,,,,,,,,,
L1,MH2029-300Y,WE-CBF_0805,805,SMD EMI Suppression Ferrite Beads,,,,,,,,,,
L4,MH2029-300Y,WE-CBF_0805,805,SMD EMI Suppression Ferrite Beads,,,,,,,,,,
L5,MH2029-300Y,WE-CBF_0805,805,SMD EMI Suppression Ferrite Beads,,,,,,,,,,
L6,MH2029-300Y,WE-CBF_0805,805,SMD EMI Suppression Ferrite Beads,,,,,,,,,,
MICRO_SD,MICRO_SD,MICROSD_PP,MICROSD_PP,,,,,,,,,,,
X1,MINI-USB-UX60-MB-5ST,MINI-USB-UX60-MB-5ST,UX60-MB-5ST,MINI USB Connector,,,,,unknown,unknown,,,,
H1,MOUNT-HOLE3.2,MOUNT-HOLE3.2,3,,,,,,,,,,,
H2,MOUNT-HOLE3.2,MOUNT-HOLE3.2,3,,,,,,,,,,,
H3,MOUNT-HOLE3.2,MOUNT-HOLE3.2,3,,,,,,,,,,,
H4,MOUNT-HOLE3.2,MOUNT-HOLE3.2,3,,,,,,,,,,,
TP1,PTR1PAD1-13,PTR1PAD1-13,P1-13,TEST PIN,,,,,,,,,,
TP2,PTR1PAD1-13,PTR1PAD1-13,P1-13,TEST PIN,,,,,,,,,,
TP3,PTR1PAD1-13,PTR1PAD1-13,P1-13,TEST PIN,,,,,,,,,,
TP4,PTR1PAD1-13,PTR1PAD1-13,P1-13,TEST PIN,,,,,,,,,,
TP5,PTR1PAD1-13,PTR1PAD1-13,P1-13,TEST PIN,,,,,,,,,,
TP6,PTR1PAD1-13,PTR1PAD1-13,P1-13,TEST PIN,,,,,,,,,,
TP7,PTR1PAD1-13,PTR1PAD1-13,P1-13,TEST PIN,,,,,,,,,,
TP8,PTR1PAD1-13,PTR1PAD1-13,P1-13,TEST PIN,,,,,,,,,,
TP9,PTR1PAD1-13,PTR1PAD1-13,P1-13,TEST PIN,,,,,,,,,,
TP10,PTR1PAD1-13,PTR1PAD1-13,P1-13,TEST PIN,,,,,,,,,,
TP11,PTR1PAD1-13,PTR1PAD1-13,P1-13,TEST PIN,,,,,,,,,,
TP12,PTR1PAD1-13,PTR1PAD1-13,P1-13,TEST PIN,,,,,,,,,,
TP13,PTR1PAD1-13,PTR1PAD1-13,P1-13,TEST PIN,,,,,,,,,,
ERASE,PUCHBUTTON,PUCHBUTTON,PUCHBUTTON,,ERASE,Erase,,,,,,,,
RESET,PUCHBUTTON,PUCHBUTTON,PUCHBUTTON,,RESET,,,,,,,RESET,,
+3.3V,PWR,LED0805,CHIPLED_0805,LED,,,,,,,,,,
X5,RS232,CONN_5-1-502386,CM-502386-05,,,,,,,,,,,
RXD,RX LED,LED0805,CHIPLED_0805,LED,,,,,,,,,,
D18,S3D,DIODE-SMC,SMC,DIODE,,,,,,,,,,
U19,SM712,SM712,SOT23,,,,,,,,,,,
U16,SN6501,SN6501,SOT23-DBV,,,,,,,,,,,
CON1,SPI PROG,CON06,CON06,CONNECTOR,,,,,unknown,unknown,,,,
U$4,T3001NL,T3001NL,T3001NL,,,,,,,,,,,
U18,TPS76350,TPS76350,SOT23-DBV,,,,,,,,,,,
TXD,TX LED,LED0805,CHIPLED_0805,LED,,,,,,,,,,
U17,WURTHWURTH,WURTHWURTH,TSOT23-6_DDC,,,,,,,,,,,
D17,,SCHOTTKY-DIODESMC,SMC,Schottky Diode,,,,,,,,,,
